Norm,$N$,level_2,Network Guided Banding ($\eta=1$),Network Guided Banding ($\eta=0.8$),Network Guided Banding ($\eta=0.5$),Network Guided Banding ($\eta=0.1$),"Network Guided Thresholding ($(l, p, q)=(0.0, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 1, 0.2)$)",Sample,Soft Threshold,Hard Threshold,Linear Shrink,Nonlinear Shrink
Frobenius Norm,100,30,2.54(0.46),2.71(0.45),3.31(0.76),3.85(0.59),2.53(0.52),2.67(0.49),2.80(0.48),2.27(0.45),2.45(0.44),2.60(0.44),1.83(0.54),2.05(0.49),2.24(0.47),2.54(0.52),2.68(0.49),2.80(0.48),2.28(0.44),2.45(0.43),2.60(0.43),1.84(0.50),2.06(0.47),2.23(0.47),2.65(0.54),2.75(0.50),2.85(0.49),2.41(0.47),2.55(0.44),2.67(0.45),2.22(0.43),2.38(0.43),2.52(0.43),2.80(0.60),2.86(0.55),2.92(0.52),2.63(0.54),2.71(0.49),2.79(0.48),2.53(0.49),2.62(0.46),2.72(0.45),3.00(0.69),3.00(0.62),3.01(0.55),2.94(0.66),2.95(0.59),2.97(0.53),2.89(0.65),2.91(0.57),2.93(0.52),3.12(0.73),3.09(0.65),3.07(0.57),3.12(0.73),3.09(0.65),3.07(0.57),3.12(0.73),3.09(0.65),3.07(0.57),3.87(0.59),3.25(0.80),3.64(0.57),3.01(0.46),2.74(0.55)
Frobenius Norm,100,100,3.26(0.40),3.54(0.44),4.46(0.51),6.97(0.88),4.18(0.41),4.61(0.42),5.04(0.43),3.83(0.41),4.32(0.44),4.80(0.44),2.74(0.72),3.26(0.58),3.83(0.53),4.20(0.41),4.62(0.42),5.04(0.43),3.84(0.41),4.33(0.44),4.81(0.44),2.78(0.69),3.34(0.60),3.89(0.55),4.34(0.41),4.69(0.41),5.08(0.42),4.03(0.40),4.48(0.43),4.91(0.44),3.76(0.42),4.24(0.45),4.70(0.46),4.55(0.44),4.80(0.41),5.14(0.42),4.33(0.40),4.67(0.41),5.05(0.42),4.20(0.39),4.59(0.42),4.99(0.43),4.81(0.49),4.94(0.42),5.20(0.41),4.72(0.47),4.89(0.41),5.17(0.41),4.66(0.46),4.85(0.41),5.15(0.42),4.97(0.52),5.03(0.44),5.24(0.41),4.97(0.52),5.03(0.44),5.24(0.41),4.97(0.52),5.03(0.44),5.24(0.41),8.81(0.71),5.12(0.59),7.59(0.63),5.26(0.38),
Frobenius Norm,100,200,3.39(0.38),3.60(0.40),4.99(0.42),7.79(0.56),5.95(0.44),6.74(0.45),7.53(0.47),5.48(0.44),6.33(0.44),7.17(0.46),3.15(0.79),4.29(0.66),5.41(0.63),5.96(0.44),6.75(0.45),7.53(0.47),5.50(0.44),6.34(0.44),7.18(0.46),3.30(0.81),4.44(0.71),5.52(0.63),6.05(0.44),6.81(0.45),7.57(0.47),5.75(0.45),6.54(0.45),7.33(0.47),5.33(0.46),6.15(0.45),6.97(0.46),6.20(0.44),6.92(0.45),7.65(0.47),6.07(0.44),6.80(0.45),7.54(0.47),5.97(0.44),6.70(0.45),7.45(0.47),6.32(0.43),7.00(0.45),7.70(0.47),6.28(0.44),6.97(0.45),7.68(0.47),6.26(0.44),6.95(0.45),7.66(0.47),6.39(0.43),7.04(0.45),7.73(0.47),6.39(0.43),7.04(0.45),7.73(0.47),6.39(0.43),7.04(0.45),7.73(0.47),14.13(0.73),6.22(0.41),11.70(0.62),6.25(0.24),
Frobenius Norm,300,100,2.53(0.23),2.58(0.31),3.51(0.36),4.55(0.42),2.28(0.30),2.48(0.26),2.68(0.25),2.02(0.22),2.28(0.21),2.52(0.21),1.46(0.33),1.76(0.26),2.04(0.24),2.34(0.29),2.51(0.27),2.69(0.26),2.08(0.22),2.31(0.21),2.54(0.21),1.77(0.24),2.05(0.21),2.30(0.23),2.47(0.32),2.59(0.29),2.74(0.27),2.24(0.26),2.43(0.23),2.62(0.23),2.12(0.22),2.34(0.21),2.55(0.21),2.63(0.35),2.69(0.31),2.80(0.28),2.47(0.31),2.57(0.27),2.71(0.25),2.36(0.29),2.50(0.25),2.66(0.24),2.81(0.39),2.81(0.34),2.87(0.30),2.75(0.38),2.76(0.33),2.83(0.29),2.71(0.37),2.72(0.32),2.81(0.28),2.91(0.41),2.87(0.35),2.91(0.31),2.91(0.41),2.87(0.35),2.91(0.31),2.91(0.41),2.87(0.35),2.91(0.31),4.57(0.40),3.03(0.43),3.95(0.34),3.67(0.33),3.50(0.39)
Frobenius Norm,300,300,3.18(0.27),3.73(0.36),5.08(0.42),7.63(0.66),3.64(0.17),4.20(0.16),4.71(0.17),3.33(0.16),3.94(0.15),4.49(0.16),1.83(0.40),2.63(0.33),3.37(0.28),3.66(0.17),4.21(0.16),4.72(0.17),3.39(0.17),3.99(0.15),4.53(0.16),2.77(0.25),3.44(0.22),4.04(0.20),3.74(0.16),4.27(0.16),4.76(0.17),3.61(0.17),4.15(0.16),4.66(0.17),3.48(0.16),4.04(0.16),4.55(0.16),3.82(0.16),4.32(0.16),4.80(0.17),3.75(0.17),4.27(0.16),4.75(0.17),3.70(0.17),4.23(0.16),4.71(0.17),3.91(0.16),4.37(0.16),4.83(0.17),3.88(0.16),4.35(0.16),4.81(0.17),3.86(0.16),4.34(0.16),4.80(0.17),3.96(0.16),4.39(0.16),4.84(0.17),3.96(0.16),4.39(0.16),4.84(0.17),3.96(0.16),4.39(0.16),4.84(0.17),9.26(0.43),3.97(0.21),7.40(0.23),5.59(0.16),
Frobenius Norm,300,500,3.24(0.25),3.72(0.28),5.39(0.38),8.02(0.43),4.71(0.15),5.50(0.17),6.28(0.17),4.30(0.15),5.15(0.16),5.97(0.17),2.02(0.49),3.30(0.41),4.36(0.35),4.74(0.15),5.52(0.17),6.29(0.17),4.37(0.15),5.21(0.16),6.01(0.17),3.50(0.20),4.45(0.19),5.34(0.19),4.85(0.15),5.60(0.17),6.34(0.17),4.67(0.15),5.44(0.17),6.19(0.17),4.49(0.15),5.28(0.17),6.04(0.17),4.94(0.15),5.67(0.17),6.39(0.17),4.86(0.15),5.60(0.17),6.32(0.17),4.80(0.15),5.54(0.17),6.26(0.17),5.02(0.16),5.73(0.17),6.43(0.18),5.00(0.15),5.71(0.17),6.41(0.17),4.98(0.15),5.70(0.17),6.40(0.17),5.06(0.16),5.76(0.17),6.45(0.18),5.06(0.16),5.76(0.17),6.45(0.18),5.06(0.16),5.76(0.17),6.45(0.18),12.84(0.39),4.88(0.16),10.04(0.28),6.27(0.11),
Matrix-2 Norm,100,30,4.87(0.55),5.25(0.56),6.68(1.05),7.76(0.52),5.12(0.47),5.51(0.49),5.85(0.48),4.67(0.51),5.13(0.50),5.51(0.49),3.42(0.73),4.13(0.63),4.65(0.58),5.13(0.47),5.52(0.48),5.86(0.47),4.70(0.50),5.16(0.50),5.53(0.49),3.55(0.73),4.23(0.65),4.73(0.60),5.25(0.47),5.60(0.48),5.92(0.47),4.95(0.48),5.34(0.48),5.68(0.48),4.56(0.51),5.00(0.51),5.36(0.50),5.39(0.50),5.71(0.50),5.99(0.49),5.25(0.48),5.57(0.49),5.86(0.48),5.13(0.47),5.46(0.48),5.75(0.48),5.53(0.55),5.81(0.53),6.06(0.50),5.49(0.53),5.77(0.52),6.02(0.49),5.46(0.53),5.75(0.51),5.99(0.49),5.60(0.56),5.87(0.54),6.10(0.51),5.60(0.56),5.87(0.54),6.10(0.51),5.60(0.56),5.87(0.54),6.10(0.51),7.79(0.51),5.71(0.58),7.46(0.56),6.50(0.30),4.15(0.43)
Matrix-2 Norm,100,100,7.63(0.41),8.56(0.42),10.46(0.39),16.35(1.49),13.38(0.63),15.16(0.62),16.74(0.59),12.05(0.69),14.06(0.66),15.83(0.63),7.57(1.82),10.72(1.22),13.17(0.99),13.43(0.63),15.19(0.62),16.77(0.59),12.17(0.68),14.14(0.65),15.89(0.63),8.21(1.87),11.16(1.34),13.47(1.03),13.77(0.62),15.42(0.62),16.91(0.59),12.95(0.64),14.73(0.63),16.32(0.61),11.96(0.74),13.89(0.71),15.59(0.67),14.19(0.62),15.71(0.62),17.11(0.59),13.82(0.61),15.39(0.61),16.81(0.59),13.50(0.61),15.11(0.61),16.56(0.59),14.56(0.64),15.98(0.62),17.29(0.59),14.46(0.63),15.90(0.62),17.21(0.59),14.38(0.63),15.82(0.61),17.14(0.59),14.74(0.65),16.11(0.63),17.38(0.59),14.74(0.65),16.11(0.63),17.38(0.59),14.74(0.65),16.11(0.63),17.38(0.59),25.39(0.67),14.96(0.64),23.28(0.79),16.75(0.23),
Matrix-2 Norm,100,200,9.54(0.41),11.05(0.44),14.11(0.46),23.15(0.85),23.64(0.78),27.81(0.73),31.42(0.73),21.26(0.86),25.94(0.78),29.89(0.77),11.64(2.79),19.63(1.74),25.14(1.34),23.72(0.77),27.86(0.73),31.45(0.73),21.42(0.85),26.05(0.78),29.97(0.77),12.58(2.92),20.18(1.81),25.49(1.37),24.27(0.76),28.22(0.71),31.68(0.71),22.74(0.82),26.98(0.76),30.64(0.75),20.91(0.91),25.51(0.81),29.39(0.78),25.00(0.75),28.71(0.71),32.00(0.71),24.32(0.76),28.13(0.72),31.49(0.73),23.79(0.77),27.68(0.73),31.09(0.73),25.64(0.75),29.15(0.71),32.29(0.70),25.45(0.76),28.99(0.71),32.15(0.71),25.33(0.76),28.88(0.71),32.05(0.71),25.92(0.76),29.35(0.71),32.43(0.71),25.92(0.76),29.35(0.71),32.43(0.71),25.92(0.76),29.35(0.71),32.43(0.71),50.52(0.84),26.22(0.73),45.05(1.01),26.84(0.15),
Matrix-2 Norm,300,100,5.69(0.25),6.57(0.26),8.83(0.39),14.54(0.36),7.81(0.36),8.81(0.34),9.69(0.32),7.01(0.37),8.15(0.34),9.13(0.33),4.19(0.82),6.09(0.61),7.49(0.51),7.92(0.35),8.88(0.34),9.74(0.32),7.26(0.36),8.33(0.33),9.27(0.32),6.02(0.61),7.33(0.50),8.44(0.43),8.14(0.36),9.04(0.34),9.84(0.33),7.78(0.34),8.72(0.33),9.56(0.32),7.45(0.35),8.42(0.33),9.29(0.32),8.35(0.37),9.18(0.35),9.94(0.34),8.17(0.35),9.02(0.34),9.79(0.32),8.03(0.35),8.89(0.34),9.67(0.33),8.53(0.39),9.32(0.36),10.03(0.34),8.48(0.38),9.27(0.36),9.99(0.34),8.44(0.38),9.23(0.35),9.95(0.34),8.62(0.40),9.38(0.37),10.07(0.35),8.62(0.40),9.38(0.37),10.07(0.35),8.62(0.40),9.38(0.37),10.07(0.35),14.57(0.33),8.74(0.39),13.40(0.39),12.19(0.20),7.49(0.30)
