Norm,$N$,level_2,Network Guided Banding ($\eta=1$),Network Guided Banding ($\eta=0.8$),Network Guided Banding ($\eta=0.5$),Network Guided Banding ($\eta=0.1$),"Network Guided Thresholding ($(l, p, q)=(0.0, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.0, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.2, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.4, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.6, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(0.8, 1, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.5, 0)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.5, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.5, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.8, 0)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.8, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 0.8, 0.2)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 1, 0)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 1, 0.1)$)","Network Guided Thresholding ($(l, p, q)=(1.0, 1, 0.2)$)",Sample,Soft Threshold,Hard Threshold,Linear Shrink,Nonlinear Shrink
Frobenius Norm,100,30,3.88(1.00),4.28(1.07),5.14(1.19),7.58(0.55),4.00(0.67),4.15(0.67),4.30(0.69),3.74(0.73),3.91(0.73),4.09(0.74),3.14(0.76),3.36(0.74),3.53(0.73),4.00(0.67),4.15(0.67),4.30(0.69),3.74(0.73),3.91(0.73),4.09(0.74),3.14(0.76),3.36(0.74),3.53(0.73),4.00(0.67),4.15(0.67),4.30(0.69),3.74(0.73),3.91(0.73),4.09(0.74),3.14(0.76),3.36(0.74),3.53(0.73),4.00(0.67),4.15(0.67),4.30(0.69),3.74(0.73),3.91(0.73),4.09(0.74),3.14(0.76),3.36(0.74),3.53(0.73),4.00(0.67),4.15(0.67),4.30(0.69),3.74(0.73),3.91(0.73),4.09(0.74),3.14(0.76),3.36(0.74),3.53(0.73),4.27(0.64),4.35(0.65),4.44(0.66),4.27(0.64),4.35(0.65),4.44(0.66),4.27(0.64),4.35(0.65),4.44(0.66),5.35(0.81),4.28(0.66),5.29(0.82),4.80(0.93),4.24(0.88)
Frobenius Norm,100,100,7.97(1.84),8.10(1.72),8.97(1.06),9.73(0.21),8.03(1.16),8.70(1.15),9.34(1.18),6.93(1.51),7.69(1.47),8.50(1.37),5.98(1.14),6.79(1.06),7.60(0.96),8.03(1.16),8.70(1.15),9.34(1.18),6.93(1.51),7.69(1.47),8.50(1.37),5.98(1.14),6.79(1.06),7.60(0.96),8.03(1.16),8.70(1.15),9.34(1.18),6.93(1.51),7.69(1.47),8.50(1.37),5.98(1.14),6.79(1.06),7.60(0.96),8.03(1.16),8.70(1.15),9.34(1.18),6.93(1.51),7.69(1.47),8.50(1.37),5.98(1.14),6.79(1.06),7.60(0.96),8.03(1.16),8.70(1.15),9.34(1.18),6.93(1.51),7.69(1.47),8.50(1.37),5.98(1.14),6.79(1.06),7.60(0.96),8.63(0.89),9.17(0.92),9.69(0.96),8.63(0.89),9.17(0.92),9.69(0.96),8.63(0.89),9.17(0.92),9.69(0.96),14.08(1.01),8.43(0.85),13.56(1.24),8.57(0.48),
Frobenius Norm,100,200,9.99(0.55),10.00(0.51),10.07(0.20),10.11(0.09),11.22(2.30),12.63(2.15),14.04(2.03),9.74(2.24),11.29(2.08),12.76(1.96),8.78(1.85),10.30(1.70),11.83(1.58),11.22(2.30),12.63(2.15),14.04(2.03),9.74(2.24),11.29(2.08),12.76(1.96),8.78(1.85),10.30(1.70),11.83(1.58),11.22(2.30),12.63(2.15),14.04(2.03),9.74(2.24),11.29(2.08),12.76(1.96),8.78(1.85),10.30(1.70),11.83(1.58),11.22(2.30),12.63(2.15),14.04(2.03),9.74(2.24),11.29(2.08),12.76(1.96),8.78(1.85),10.30(1.70),11.83(1.58),11.22(2.30),12.63(2.15),14.04(2.03),9.74(2.24),11.29(2.08),12.76(1.96),8.78(1.85),10.30(1.70),11.83(1.58),12.78(1.25),13.90(1.33),14.96(1.44),12.78(1.25),13.90(1.33),14.96(1.44),12.78(1.25),13.90(1.33),14.96(1.44),23.93(1.06),12.46(1.21),22.42(1.41),9.86(0.26),
Frobenius Norm,300,100,3.40(0.26),3.52(0.29),4.99(0.34),8.62(0.53),4.88(0.39),5.14(0.40),5.39(0.41),4.56(0.40),4.86(0.41),5.15(0.41),3.05(0.50),3.46(0.48),3.90(0.48),4.88(0.39),5.14(0.40),5.39(0.41),4.56(0.40),4.86(0.41),5.15(0.41),3.05(0.50),3.46(0.48),3.90(0.48),4.88(0.39),5.14(0.40),5.39(0.41),4.56(0.40),4.86(0.41),5.15(0.41),3.05(0.50),3.46(0.48),3.90(0.48),4.88(0.39),5.14(0.40),5.39(0.41),4.56(0.40),4.86(0.41),5.15(0.41),3.05(0.50),3.46(0.48),3.90(0.48),4.88(0.39),5.14(0.40),5.39(0.41),4.56(0.40),4.86(0.41),5.15(0.41),3.05(0.50),3.46(0.48),3.90(0.48),5.10(0.37),5.30(0.39),5.50(0.40),5.10(0.37),5.30(0.39),5.50(0.40),5.10(0.37),5.30(0.39),5.50(0.40),7.15(0.50),5.02(0.36),7.07(0.51),6.75(0.57),5.62(0.76)
Frobenius Norm,300,300,3.65(0.16),3.69(0.17),5.07(0.22),8.97(0.36),9.16(0.42),9.90(0.43),10.63(0.43),8.37(0.42),9.19(0.43),10.01(0.43),4.97(0.95),6.09(0.83),7.23(0.76),9.16(0.42),9.90(0.43),10.63(0.43),8.37(0.42),9.19(0.43),10.01(0.43),4.97(0.95),6.09(0.83),7.23(0.76),9.16(0.42),9.90(0.43),10.63(0.43),8.37(0.42),9.19(0.43),10.01(0.43),4.97(0.95),6.09(0.83),7.23(0.76),9.16(0.42),9.90(0.43),10.63(0.43),8.37(0.42),9.19(0.43),10.01(0.43),4.97(0.95),6.09(0.83),7.23(0.76),9.16(0.42),9.90(0.43),10.63(0.43),8.37(0.42),9.19(0.43),10.01(0.43),4.97(0.95),6.09(0.83),7.23(0.76),9.71(0.41),10.31(0.43),10.91(0.43),9.71(0.41),10.31(0.43),10.91(0.43),9.71(0.41),10.31(0.43),10.91(0.43),15.45(0.55),9.56(0.41),15.03(0.54),9.07(0.22),
Frobenius Norm,300,500,3.97(0.15),4.04(0.14),4.54(0.14),8.70(0.30),11.61(0.30),12.74(0.30),13.83(0.31),10.52(0.31),11.76(0.30),12.98(0.31),5.39(1.08),7.18(0.95),8.84(0.85),11.61(0.30),12.74(0.30),13.83(0.31),10.52(0.31),11.76(0.30),12.98(0.31),5.39(1.08),7.18(0.95),8.84(0.85),11.61(0.30),12.74(0.30),13.83(0.31),10.52(0.31),11.76(0.30),12.98(0.31),5.39(1.08),7.18(0.95),8.84(0.85),11.61(0.30),12.74(0.30),13.83(0.31),10.52(0.31),11.76(0.30),12.98(0.31),5.39(1.08),7.18(0.95),8.84(0.85),11.61(0.30),12.74(0.30),13.83(0.31),10.52(0.31),11.76(0.30),12.98(0.31),5.39(1.08),7.18(0.95),8.84(0.85),12.43(0.31),13.36(0.31),14.28(0.32),12.43(0.31),13.36(0.31),14.28(0.32),12.43(0.31),13.36(0.31),14.28(0.32),21.38(0.47),12.26(0.31),20.56(0.46),9.43(0.14),
Matrix-2 Norm,100,30,7.26(0.75),7.81(0.71),8.88(0.61),10.33(0.24),8.46(0.66),8.92(0.62),9.35(0.61),7.67(0.87),8.25(0.79),8.77(0.74),6.03(0.87),6.89(0.82),7.54(0.70),8.46(0.66),8.92(0.62),9.35(0.61),7.67(0.87),8.25(0.79),8.77(0.74),6.03(0.87),6.89(0.82),7.54(0.70),8.46(0.66),8.92(0.62),9.35(0.61),7.67(0.87),8.25(0.79),8.77(0.74),6.03(0.87),6.89(0.82),7.54(0.70),8.46(0.66),8.92(0.62),9.35(0.61),7.67(0.87),8.25(0.79),8.77(0.74),6.03(0.87),6.89(0.82),7.54(0.70),8.46(0.66),8.92(0.62),9.35(0.61),7.67(0.87),8.25(0.79),8.77(0.74),6.03(0.87),6.89(0.82),7.54(0.70),9.03(0.59),9.35(0.57),9.64(0.58),9.03(0.59),9.35(0.57),9.64(0.58),9.03(0.59),9.35(0.57),9.64(0.58),11.71(0.60),9.08(0.56),11.62(0.63),7.69(0.40),6.71(0.53)
Matrix-2 Norm,100,100,19.51(1.73),19.67(1.55),20.59(0.71),21.14(0.18),26.41(2.65),29.16(2.19),31.63(1.95),22.38(3.78),25.87(3.06),29.03(2.44),18.59(2.95),22.72(2.27),26.28(1.82),26.41(2.65),29.16(2.19),31.63(1.95),22.38(3.78),25.87(3.06),29.03(2.44),18.59(2.95),22.72(2.27),26.28(1.82),26.41(2.65),29.16(2.19),31.63(1.95),22.38(3.78),25.87(3.06),29.03(2.44),18.59(2.95),22.72(2.27),26.28(1.82),26.41(2.65),29.16(2.19),31.63(1.95),22.38(3.78),25.87(3.06),29.03(2.44),18.59(2.95),22.72(2.27),26.28(1.82),26.41(2.65),29.16(2.19),31.63(1.95),22.38(3.78),25.87(3.06),29.03(2.44),18.59(2.95),22.72(2.27),26.28(1.82),29.02(1.89),31.06(1.65),32.96(1.48),29.02(1.89),31.06(1.65),32.96(1.48),29.02(1.89),31.06(1.65),32.96(1.48),45.37(0.86),29.16(1.73),44.18(1.72),18.91(0.21),
Matrix-2 Norm,100,200,30.37(0.49),30.37(0.48),30.44(0.23),30.48(0.16),47.11(7.44),54.72(5.71),61.38(4.66),40.30(7.70),49.44(5.81),56.94(4.69),35.41(6.30),45.38(4.63),53.57(3.66),47.11(7.44),54.72(5.71),61.38(4.66),40.30(7.70),49.44(5.81),56.94(4.69),35.41(6.30),45.38(4.63),53.57(3.66),47.11(7.44),54.72(5.71),61.38(4.66),40.30(7.70),49.44(5.81),56.94(4.69),35.41(6.30),45.38(4.63),53.57(3.66),47.11(7.44),54.72(5.71),61.38(4.66),40.30(7.70),49.44(5.81),56.94(4.69),35.41(6.30),45.38(4.63),53.57(3.66),47.11(7.44),54.72(5.71),61.38(4.66),40.30(7.70),49.44(5.81),56.94(4.69),35.41(6.30),45.38(4.63),53.57(3.66),54.15(3.57),59.58(3.38),64.57(3.16),54.15(3.57),59.58(3.38),64.57(3.16),54.15(3.57),59.58(3.38),64.57(3.16),96.25(1.18),54.38(3.42),92.17(2.68),29.46(0.12),
Matrix-2 Norm,300,100,9.97(0.29),10.87(0.32),14.60(0.34),19.54(0.51),17.95(0.51),19.07(0.50),20.11(0.48),16.47(0.56),17.79(0.54),19.02(0.49),10.33(1.46),12.81(1.13),14.95(0.97),17.95(0.51),19.07(0.50),20.11(0.48),16.47(0.56),17.79(0.54),19.02(0.49),10.33(1.46),12.81(1.13),14.95(0.97),17.95(0.51),19.07(0.50),20.11(0.48),16.47(0.56),17.79(0.54),19.02(0.49),10.33(1.46),12.81(1.13),14.95(0.97),17.95(0.51),19.07(0.50),20.11(0.48),16.47(0.56),17.79(0.54),19.02(0.49),10.33(1.46),12.81(1.13),14.95(0.97),17.95(0.51),19.07(0.50),20.11(0.48),16.47(0.56),17.79(0.54),19.02(0.49),10.33(1.46),12.81(1.13),14.95(0.97),19.10(0.47),19.90(0.47),20.68(0.46),19.10(0.47),19.90(0.47),20.68(0.46),19.10(0.47),19.90(0.47),20.68(0.46),26.05(0.45),19.13(0.46),25.82(0.46),16.23(0.25),15.19(0.29)
