LSRthreshold Cai2011Adaptive_Model2_my
300 300
fro 0.2 1 0
0, param_threshold: 1.26, rela: 0.53, abs: 43.82
1, param_threshold: 0.94, rela: 0.61, abs: 50.40
2, param_threshold: 1.03, rela: 0.59, abs: 48.69
3, param_threshold: 0.99, rela: 0.58, abs: 48.47
4, param_threshold: 0.90, rela: 0.61, abs: 50.59
5, param_threshold: 0.95, rela: 0.61, abs: 50.93
6, param_threshold: 0.97, rela: 0.60, abs: 49.61
7, param_threshold: 1.13, rela: 0.54, abs: 45.08
8, param_threshold: 0.90, rela: 0.62, abs: 51.47
9, param_threshold: 0.91, rela: 0.62, abs: 51.19
10, param_threshold: 0.94, rela: 0.60, abs: 50.11
11, param_threshold: 1.79, rela: 0.40, abs: 33.16
12, param_threshold: 1.08, rela: 0.56, abs: 46.47
13, param_threshold: 0.94, rela: 0.62, abs: 51.52
14, param_threshold: 0.94, rela: 0.60, abs: 49.63
15, param_threshold: 0.97, rela: 0.59, abs: 49.40
16, param_threshold: 0.92, rela: 0.62, abs: 51.13
17, param_threshold: 1.00, rela: 0.59, abs: 49.17
18, param_threshold: 1.03, rela: 0.59, abs: 48.78
19, param_threshold: 1.17, rela: 0.54, abs: 44.99
20, param_threshold: 0.95, rela: 0.61, abs: 50.82
21, param_threshold: 1.09, rela: 0.58, abs: 47.78
22, param_threshold: 1.01, rela: 0.59, abs: 48.64
23, param_threshold: 1.13, rela: 0.56, abs: 46.33
24, param_threshold: 0.99, rela: 0.60, abs: 49.44
25, param_threshold: 0.92, rela: 0.62, abs: 51.34
26, param_threshold: 1.61, rela: 0.43, abs: 35.94
27, param_threshold: 0.95, rela: 0.59, abs: 49.38
28, param_threshold: 1.01, rela: 0.59, abs: 48.84
29, param_threshold: 0.94, rela: 0.61, abs: 50.46
30, param_threshold: 0.92, rela: 0.60, abs: 50.22
31, param_threshold: 1.09, rela: 0.57, abs: 47.12
32, param_threshold: 0.93, rela: 0.62, abs: 51.20
33, param_threshold: 1.00, rela: 0.60, abs: 49.44
34, param_threshold: 1.35, rela: 0.51, abs: 42.07
35, param_threshold: 1.11, rela: 0.56, abs: 46.82
36, param_threshold: 0.98, rela: 0.60, abs: 49.61
37, param_threshold: 1.04, rela: 0.58, abs: 48.24
38, param_threshold: 0.93, rela: 0.60, abs: 50.09
39, param_threshold: 0.92, rela: 0.61, abs: 50.95
40, param_threshold: 0.94, rela: 0.62, abs: 51.30
41, param_threshold: 0.99, rela: 0.60, abs: 50.08
42, param_threshold: 0.96, rela: 0.60, abs: 50.16
43, param_threshold: 0.88, rela: 0.63, abs: 52.66
44, param_threshold: 0.88, rela: 0.62, abs: 51.80
45, param_threshold: 1.17, rela: 0.54, abs: 44.76
46, param_threshold: 1.33, rela: 0.52, abs: 42.92
47, param_threshold: 1.10, rela: 0.56, abs: 46.53
48, param_threshold: 1.01, rela: 0.59, abs: 48.97
49, param_threshold: 1.21, rela: 0.54, abs: 44.54
50, param_threshold: 0.81, rela: 0.64, abs: 53.14
51, param_threshold: 1.28, rela: 0.51, abs: 42.28
52, param_threshold: 1.06, rela: 0.57, abs: 47.73
53, param_threshold: 0.95, rela: 0.61, abs: 50.30
54, param_threshold: 0.93, rela: 0.62, abs: 51.34
55, param_threshold: 0.89, rela: 0.62, abs: 51.81
56, param_threshold: 0.94, rela: 0.61, abs: 50.59
57, param_threshold: 1.20, rela: 0.54, abs: 44.71
58, param_threshold: 0.90, rela: 0.62, abs: 51.24
59, param_threshold: 0.98, rela: 0.60, abs: 49.87
60, param_threshold: 0.93, rela: 0.61, abs: 50.65
61, param_threshold: 0.92, rela: 0.62, abs: 51.10
62, param_threshold: 1.62, rela: 0.44, abs: 36.25
63, param_threshold: 1.13, rela: 0.55, abs: 45.85
64, param_threshold: 0.93, rela: 0.61, abs: 50.90
65, param_threshold: 1.00, rela: 0.59, abs: 49.21
66, param_threshold: 0.97, rela: 0.59, abs: 48.95
67, param_threshold: 1.15, rela: 0.56, abs: 46.31
68, param_threshold: 0.93, rela: 0.61, abs: 50.26
69, param_threshold: 1.10, rela: 0.56, abs: 46.67
70, param_threshold: 0.92, rela: 0.62, abs: 51.09
71, param_threshold: 0.93, rela: 0.61, abs: 50.68
72, param_threshold: 0.96, rela: 0.61, abs: 50.29
73, param_threshold: 0.90, rela: 0.61, abs: 51.06
74, param_threshold: 0.79, rela: 0.65, abs: 53.89
75, param_threshold: 2.02, rela: 0.35, abs: 29.43
76, param_threshold: 1.00, rela: 0.59, abs: 49.21
77, param_threshold: 1.04, rela: 0.58, abs: 47.90
78, param_threshold: 1.00, rela: 0.59, abs: 48.90
79, param_threshold: 0.90, rela: 0.63, abs: 52.08
80, param_threshold: 0.95, rela: 0.61, abs: 50.81
81, param_threshold: 0.94, rela: 0.62, abs: 51.24
82, param_threshold: 0.92, rela: 0.62, abs: 51.18
83, param_threshold: 0.98, rela: 0.60, abs: 49.99
84, param_threshold: 1.03, rela: 0.59, abs: 48.83
85, param_threshold: 1.23, rela: 0.52, abs: 43.37
86, param_threshold: 0.98, rela: 0.59, abs: 49.33
87, param_threshold: 0.96, rela: 0.60, abs: 49.83
88, param_threshold: 0.95, rela: 0.61, abs: 50.55
89, param_threshold: 1.28, rela: 0.52, abs: 42.82
90, param_threshold: 0.90, rela: 0.62, abs: 51.30
91, param_threshold: 0.99, rela: 0.59, abs: 48.87
92, param_threshold: 0.88, rela: 0.62, abs: 51.70
93, param_threshold: 0.97, rela: 0.59, abs: 49.00
94, param_threshold: 0.99, rela: 0.59, abs: 49.25
95, param_threshold: 0.92, rela: 0.60, abs: 50.17
96, param_threshold: 0.88, rela: 0.63, abs: 52.36
97, param_threshold: 0.92, rela: 0.61, abs: 50.99
98, param_threshold: 1.26, rela: 0.52, abs: 43.13
99, param_threshold: 1.00, rela: 0.59, abs: 48.78
