,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,42.571653468151155,18.252260132486587,16.426162012946534,15.830051730740609,35.81516421678728
1,R,fro,0.8,0.5,0.5,42.571653468151155,18.021735410394072,16.2691931018955,15.706347561553473,35.784967287609625
2,S,2,0.8,0.5,0.5,8.98939235837529,4.766558507531206,4.130090146578846,3.8487112028874,7.622399044005305
3,R,2,0.8,0.5,0.5,8.98939235837529,4.597011619559921,4.078985183394744,3.812967660977014,7.6022759143656184
4,S,fro,0.8,0.5,2.0,42.571653468151155,18.252260132486587,16.426162012946534,15.830051730740609,35.815230891138306
5,R,fro,0.8,0.5,2.0,42.571653468151155,18.021735410394072,16.2691931018955,15.706347561553473,35.784881458495654
6,S,2,0.8,0.5,2.0,8.98939235837529,4.766558507531206,4.130090146578846,3.8487112028874,7.630176611606348
7,R,2,0.8,0.5,2.0,8.98939235837529,4.597011619559921,4.078985183394744,3.812967660977014,7.613134722882708
8,S,fro,0.8,0.8,0.5,42.571653468151155,18.252260132486587,16.426162012946534,15.830051730740609,35.815044342678085
9,R,fro,0.8,0.8,0.5,42.571653468151155,18.021735410394072,16.2691931018955,15.706347561553473,35.784766851969536
10,S,2,0.8,0.8,0.5,8.98939235837529,4.766558507531206,4.130090146578846,3.8487112028874,7.651443123781646
11,R,2,0.8,0.8,0.5,8.98939235837529,4.597011619559921,4.078985183394744,3.812967660977014,7.641348218735573
12,S,fro,0.8,0.8,2.0,42.571653468151155,18.252260132486587,16.426162012946534,15.830051730740609,35.708073243162104
13,R,fro,0.8,0.8,2.0,42.571653468151155,18.021735410394072,16.2691931018955,15.706347561553473,35.67743664334293
14,S,2,0.8,0.8,2.0,8.98939235837529,4.766558507531206,4.130090146578846,3.8487112028874,7.570946450690132
15,R,2,0.8,0.8,2.0,8.98939235837529,4.597011619559921,4.078985183394744,3.812967660977014,7.570509507191323
16,S,fro,0.8,1.0,0.5,42.571653468151155,18.252260132486587,16.426162012946534,15.830051730740609,36.48476362715212
17,R,fro,0.8,1.0,0.5,42.571653468151155,18.021735410394072,16.2691931018955,15.706347561553473,36.45789378455165
18,S,2,0.8,1.0,0.5,8.98939235837529,4.766558507531206,4.130090146578846,3.8487112028874,7.8301323244648176
19,R,2,0.8,1.0,0.5,8.98939235837529,4.597011619559921,4.078985183394744,3.812967660977014,7.828562709395558
20,S,fro,0.8,1.0,2.0,42.571653468151155,18.252260132486587,16.426162012946534,15.830051730740609,36.48476362715212
21,R,fro,0.8,1.0,2.0,42.571653468151155,18.021735410394072,16.2691931018955,15.706347561553473,36.45789378455165
22,S,2,0.8,1.0,2.0,8.98939235837529,4.766558507531206,4.130090146578846,3.8487112028874,7.8301323244648176
23,R,2,0.8,1.0,2.0,8.98939235837529,4.597011619559921,4.078985183394744,3.812967660977014,7.828562709395558
24,S,fro,0.9,0.5,0.5,61.36490014274517,18.198469329692117,17.56833355619482,17.02733256972641,34.31267953518761
25,R,fro,0.9,0.5,0.5,61.36490014274517,17.761193199375754,17.081443455506797,16.619389620537877,34.1109752293349
26,S,2,0.9,0.5,0.5,18.904337905743397,6.224434211128146,6.1056324906347275,5.775364137752253,10.5407835554804
27,R,2,0.9,0.5,0.5,18.904337905743397,6.325852867707414,5.855105181375259,5.570124970006654,10.409891012019775
28,S,fro,0.9,0.5,2.0,61.36490014274517,18.198469329692117,17.56833355619482,17.02733256972641,43.67361828791074
29,R,fro,0.9,0.5,2.0,61.36490014274517,17.761193199375754,17.081443455506797,16.619389620537877,43.564176376179766
30,S,2,0.9,0.5,2.0,18.904337905743397,6.224434211128146,6.1056324906347275,5.775364137752253,13.195014083584116
31,R,2,0.9,0.5,2.0,18.904337905743397,6.325852867707414,5.855105181375259,5.570124970006654,13.116503955526076
32,S,fro,0.9,0.8,0.5,61.36490014274517,18.198469329692117,17.56833355619482,17.02733256972641,45.60988396823519
33,R,fro,0.9,0.8,0.5,61.36490014274517,17.761193199375754,17.081443455506797,16.619389620537877,45.51876191036451
34,S,2,0.9,0.8,0.5,18.904337905743397,6.224434211128146,6.1056324906347275,5.775364137752253,14.153073982973623
35,R,2,0.9,0.8,0.5,18.904337905743397,6.325852867707414,5.855105181375259,5.570124970006654,14.090691234847824
36,S,fro,0.9,0.8,2.0,61.36490014274517,18.198469329692117,17.56833355619482,17.02733256972641,9.483573360392558
37,R,fro,0.9,0.8,2.0,61.36490014274517,17.761193199375754,17.081443455506797,16.619389620537877,8.347314628817736
38,S,2,0.9,0.8,2.0,18.904337905743397,6.224434211128146,6.1056324906347275,5.775364137752253,3.0843856305452153
39,R,2,0.9,0.8,2.0,18.904337905743397,6.325852867707414,5.855105181375259,5.570124970006654,2.3729426159048046
40,S,fro,0.9,1.0,0.5,61.36490014274517,18.198469329692117,17.56833355619482,17.02733256972641,45.6549894177087
41,R,fro,0.9,1.0,0.5,61.36490014274517,17.761193199375754,17.081443455506797,16.619389620537877,45.565258871891515
42,S,2,0.9,1.0,0.5,18.904337905743397,6.224434211128146,6.1056324906347275,5.775364137752253,14.179457186263637
43,R,2,0.9,1.0,0.5,18.904337905743397,6.325852867707414,5.855105181375259,5.570124970006654,14.118624946079514
44,S,fro,0.9,1.0,2.0,61.36490014274517,18.198469329692117,17.56833355619482,17.02733256972641,45.6549894177087
45,R,fro,0.9,1.0,2.0,61.36490014274517,17.761193199375754,17.081443455506797,16.619389620537877,45.565258871891515
46,S,2,0.9,1.0,2.0,18.904337905743397,6.224434211128146,6.1056324906347275,5.775364137752253,14.179457186263637
47,R,2,0.9,1.0,2.0,18.904337905743397,6.325852867707414,5.855105181375259,5.570124970006654,14.118624946079514
48,S,fro,0.95,0.5,0.5,87.26541768046164,17.28323706108399,16.92180593155896,16.453438859094426,64.83516656408244
49,R,fro,0.95,0.5,0.5,87.26541768046164,16.73429068644967,16.230254523967474,15.814061870039943,64.7641584240987
50,S,2,0.95,0.5,0.5,38.25469729144639,8.12130129423568,6.712343143264949,6.448185161620221,28.582618633114812
51,R,2,0.95,0.5,0.5,38.25469729144639,7.799403000063493,6.372450958271013,6.057365988848792,28.351680919047478
52,S,fro,0.95,0.5,2.0,87.26541768046164,17.28323706108399,16.92180593155896,16.453438859094426,72.7630582093513
53,R,fro,0.95,0.5,2.0,87.26541768046164,16.73429068644967,16.230254523967474,15.814061870039943,72.72099006070303
54,S,2,0.95,0.5,2.0,38.25469729144639,8.12130129423568,6.712343143264949,6.448185161620221,31.848816880552256
55,R,2,0.95,0.5,2.0,38.25469729144639,7.799403000063493,6.372450958271013,6.057365988848792,31.70549629587534
56,S,fro,0.95,0.8,0.5,87.26541768046164,17.28323706108399,16.92180593155896,16.453438859094426,10.59416821775265
57,R,fro,0.95,0.8,0.5,87.26541768046164,16.73429068644967,16.230254523967474,15.814061870039943,9.460925366974921
58,S,2,0.95,0.8,0.5,38.25469729144639,8.12130129423568,6.712343143264949,6.448185161620221,3.877156490278413
59,R,2,0.95,0.8,0.5,38.25469729144639,7.799403000063493,6.372450958271013,6.057365988848792,3.192024807851013
60,S,fro,0.95,0.8,2.0,87.26541768046164,17.28323706108399,16.92180593155896,16.453438859094426,59.807774636634406
61,R,fro,0.95,0.8,2.0,87.26541768046164,16.73429068644967,16.230254523967474,15.814061870039943,59.7144460164671
62,S,2,0.95,0.8,2.0,38.25469729144639,8.12130129423568,6.712343143264949,6.448185161620221,26.458629335070658
63,R,2,0.95,0.8,2.0,38.25469729144639,7.799403000063493,6.372450958271013,6.057365988848792,26.173637060278818
64,S,fro,0.95,1.0,0.5,87.26541768046164,17.28323706108399,16.92180593155896,16.453438859094426,10.18282144761469
65,R,fro,0.95,1.0,0.5,87.26541768046164,16.73429068644967,16.230254523967474,15.814061870039943,8.999992003637221
66,S,2,0.95,1.0,0.5,38.25469729144639,8.12130129423568,6.712343143264949,6.448185161620221,4.056980253568932
67,R,2,0.95,1.0,0.5,38.25469729144639,7.799403000063493,6.372450958271013,6.057365988848792,3.337192242998999
68,S,fro,0.95,1.0,2.0,87.26541768046164,17.28323706108399,16.92180593155896,16.453438859094426,10.217464399961763
69,R,fro,0.95,1.0,2.0,87.26541768046164,16.73429068644967,16.230254523967474,15.814061870039943,9.040074092364845
70,S,2,0.95,1.0,2.0,38.25469729144639,8.12130129423568,6.712343143264949,6.448185161620221,3.6893763753942173
71,R,2,0.95,1.0,2.0,38.25469729144639,7.799403000063493,6.372450958271013,6.057365988848792,3.079923651562631
72,S,fro,0.99,0.5,0.5,186.68884536144247,29.316616680355317,28.177832640538526,170.75812213683244,183.5203097106406
73,R,fro,0.99,0.5,0.5,186.68884536144247,20.170810379607293,19.699301200920363,168.6913311235918,183.4955204425039
74,S,2,0.99,0.5,0.5,154.52493154157162,26.102131467547846,24.523598026154847,153.7750340187865,151.4884420696091
75,R,2,0.99,0.5,0.5,154.52493154157162,16.136607411752525,15.046630882413385,152.92501002075628,151.54616706164182
76,S,fro,0.99,0.5,2.0,186.68884536144247,29.316616680355317,28.177832640538526,170.75812213683244,182.03532298636003
77,R,fro,0.99,0.5,2.0,186.68884536144247,20.170810379607293,19.699301200920363,168.6913311235918,181.99913992929248
78,S,2,0.99,0.5,2.0,154.52493154157162,26.102131467547846,24.523598026154847,153.7750340187865,150.01619827052957
79,R,2,0.99,0.5,2.0,154.52493154157162,16.136607411752525,15.046630882413385,152.92501002075628,150.09573575861575
80,S,fro,0.99,0.8,0.5,186.68884536144247,29.316616680355317,28.177832640538526,170.75812213683244,182.90643646910019
81,R,fro,0.99,0.8,0.5,186.68884536144247,20.170810379607293,19.699301200920363,168.6913311235918,182.87675188355854
82,S,2,0.99,0.8,0.5,154.52493154157162,26.102131467547846,24.523598026154847,153.7750340187865,150.89515158137596
83,R,2,0.99,0.8,0.5,154.52493154157162,16.136607411752525,15.046630882413385,152.92501002075628,150.96307297318367
84,S,fro,0.99,0.8,2.0,186.68884536144247,29.316616680355317,28.177832640538526,170.75812213683244,181.66319592798396
85,R,fro,0.99,0.8,2.0,186.68884536144247,20.170810379607293,19.699301200920363,168.6913311235918,181.62353113425584
86,S,2,0.99,0.8,2.0,154.52493154157162,26.102131467547846,24.523598026154847,153.7750340187865,149.67041925356037
87,R,2,0.99,0.8,2.0,154.52493154157162,16.136607411752525,15.046630882413385,152.92501002075628,149.76027465341394
88,S,fro,0.99,1.0,0.5,186.68884536144247,29.316616680355317,28.177832640538526,170.75812213683244,183.5203097106406
89,R,fro,0.99,1.0,0.5,186.68884536144247,20.170810379607293,19.699301200920363,168.6913311235918,183.4955204425039
90,S,2,0.99,1.0,0.5,154.52493154157162,26.102131467547846,24.523598026154847,153.7750340187865,151.4884420696091
91,R,2,0.99,1.0,0.5,154.52493154157162,16.136607411752525,15.046630882413385,152.92501002075628,151.54616706164182
92,S,fro,0.99,1.0,2.0,186.68884536144247,29.316616680355317,28.177832640538526,170.75812213683244,183.5203097106406
93,R,fro,0.99,1.0,2.0,186.68884536144247,20.170810379607293,19.699301200920363,168.6913311235918,183.4955204425039
94,S,2,0.99,1.0,2.0,154.52493154157162,26.102131467547846,24.523598026154847,153.7750340187865,151.4884420696091
95,R,2,0.99,1.0,2.0,154.52493154157162,16.136607411752525,15.046630882413385,152.92501002075628,151.54616706164182
