,N,T,rho,ord,type,Sample,Soft Threshold,Hard Threshold,Linear Shrink,Nonlinear Shrink
0,100,100,0.8,fro,R,0.4371586208473159,0.4125838007369639,0.4371586208473159,0.4055987011878901,
1,100,100,0.8,fro,S,0.4687812677549299,0.4234420836402024,0.4687812677549298,0.4190563054544174,
2,100,100,0.8,2,R,0.4199008212397255,0.4113765282067418,0.3480955726937485,0.4554205309440455,
3,100,100,0.8,2,S,0.4873160817117521,0.4383335608043759,0.4317728027528667,0.4714175636641604,
4,100,100,0.95,fro,R,0.1839640967112475,0.1901951680077618,0.1848177542970737,0.1965984586570126,
5,100,100,0.95,fro,S,0.2355070877916659,0.2391584787758041,0.236136099984496,0.2434388807728452,
6,100,100,0.95,2,R,0.1653537486805067,0.271783460003639,0.1653537221951681,0.2040119200412148,
7,100,100,0.95,2,S,0.2182997582964806,0.3202149154929335,0.218299723246261,0.2598275297285846,
8,100,300,0.8,fro,R,0.2523695883311133,0.2522334933428102,0.2452890055046327,0.2428122555991228,0.2396008198886527
9,100,300,0.8,fro,S,0.2741869379752319,0.2740499108221766,0.2673494645517454,0.2561482265210509,0.2532583867901011
10,100,300,0.8,2,R,0.2285450547562579,0.8100094741140622,0.1514028743892232,0.2398440928744301,0.2294177146664671
11,100,300,0.8,2,S,0.2654768871913338,0.8082138574786634,0.1879387150254838,0.2435554586444431,0.2281869761292921
12,100,300,0.95,fro,R,0.0830886908649285,0.0830885939914551,0.0830887052791914,0.0803153482181943,0.0800639922515523
13,100,300,0.95,fro,S,0.1316957535607038,0.1316956214621751,0.1316957631170893,0.1198717291208779,0.1251823397995037
14,100,300,0.95,2,R,0.0614056537954726,0.0978419569768894,0.0974470662607387,0.0494363202886073,0.0508879367438462
15,100,300,0.95,2,S,0.1217903886094021,0.1051741447839079,0.134210150396661,0.0991057593960039,0.1085385324141248
16,100,500,0.8,fro,R,0.1964545238465941,0.1505262861788548,0.1556268912949499,0.1913951043484836,0.1893701853893216
17,100,500,0.8,fro,S,0.2079674167218943,0.1519877836779775,0.1675192653651821,0.1974192253753615,0.1958884622365273
18,100,500,0.8,2,R,0.2004467612977098,0.2004464453746967,0.2004110489923095,0.1817197438870088,0.1723136895381591
19,100,500,0.8,2,S,0.2342849710106088,0.2342846441715228,0.2342581503094205,0.1912211631310233,0.185724387736614
20,100,500,0.95,fro,R,0.0660850419791138,0.0647032032825902,0.0660850419791138,0.0647954928135928,0.0652230689047171
21,100,500,0.95,fro,S,0.0993775563316727,0.090216551846352,0.0993775563316727,0.0924298253236112,0.0959493736152334
22,100,500,0.95,2,R,0.0492377473586096,0.0825198728174284,0.0496438486270817,0.0422796525098078,0.0448736593100591
23,100,500,0.95,2,S,0.0922888371245095,0.0790515040806119,0.0921692424521997,0.0794313970329587,0.0849147146648316
24,300,100,0.8,fro,R,0.7883996906908133,0.3417725122759115,0.8809616518734886,0.5752470883128611,
25,300,100,0.8,fro,S,0.8399142682224572,0.3591783435151516,0.8844757615195983,0.5818322495591635,
26,300,100,0.8,2,R,0.9784623087556792,0.3986435228522518,0.8877376601814391,0.6353889911908193,
27,300,100,0.8,2,S,1.1182167578619362,0.4440207223844001,0.8870015926743534,0.6319183302637184,
28,300,100,0.95,fro,R,0.3455886864661173,0.2884382216772708,0.9731565278948808,0.310277345130908,
29,300,100,0.95,fro,S,0.4399474422686142,0.2857612802940534,0.9740100353544208,0.3499277498355416,
30,300,100,0.95,2,R,0.3105377713242415,0.4101508753919744,0.9735201217015496,0.3035798037534011,
31,300,100,0.95,2,S,0.4910485326888342,0.3873486066757792,0.9705035218047312,0.3048065227901012,
32,300,300,0.8,fro,R,0.4655630787553481,0.2190604492743361,0.8793466959634983,0.4038882099361338,
33,300,300,0.8,fro,S,0.4889415087522457,0.2306381869787415,0.8804378040261475,0.4107730383067887,
34,300,300,0.8,2,R,0.6830569400265053,0.3116074286385872,0.8864849424382395,0.4444997001109902,
35,300,300,0.8,2,S,0.7204471056626766,0.3314825705349447,0.8853423674278228,0.4436328496190259,
36,300,300,0.95,fro,R,0.2125510195201157,0.1685382055810881,0.1843330430437233,0.2074766023881222,
