,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.80,0.50,0.50,30.02,20.05,15.96,15.63,25.24
1,R,fro,0.80,0.50,0.50,30.02,19.36,15.81,15.49,25.14
2,S,fro,0.80,0.50,1.00,30.02,20.87,16.03,15.77,16.68
3,R,fro,0.80,0.50,1.00,30.02,20.08,15.82,15.54,16.28
4,S,fro,0.80,0.50,2.00,30.02,20.41,16.05,15.78,25.26
5,R,fro,0.80,0.50,2.00,30.02,19.65,15.87,15.60,25.14
6,S,fro,0.80,0.80,0.50,30.02,20.20,16.21,15.83,9.02
7,R,fro,0.80,0.80,0.50,30.02,20.14,16.03,15.69,7.96
8,S,fro,0.80,0.80,1.00,30.02,19.19,16.59,16.46,25.05
9,R,fro,0.80,0.80,1.00,30.02,19.49,16.28,16.24,24.92
10,S,fro,0.80,0.80,2.00,30.02,20.39,16.01,15.62,8.81
11,R,fro,0.80,0.80,2.00,30.02,19.75,15.76,15.41,7.19
12,S,fro,0.80,1.00,0.50,30.02,20.16,15.95,15.62,7.80
13,R,fro,0.80,1.00,0.50,30.02,19.57,15.79,15.48,6.41
14,S,fro,0.80,1.00,1.00,30.02,20.77,15.76,15.63,25.61
15,R,fro,0.80,1.00,1.00,30.02,19.12,15.36,15.22,25.47
16,S,fro,0.80,1.00,2.00,30.02,19.11,16.21,15.85,25.55
17,R,fro,0.80,1.00,2.00,30.02,19.40,15.99,15.69,25.47
18,S,fro,0.90,0.50,0.50,43.13,21.78,18.29,17.83,33.80
19,R,fro,0.90,0.50,0.50,43.13,19.61,17.26,16.87,33.46
20,S,fro,0.90,0.50,1.00,43.13,18.69,17.50,17.22,30.92
21,R,fro,0.90,0.50,1.00,43.13,17.89,16.77,16.66,30.58
22,S,fro,0.90,0.50,2.00,43.13,21.58,19.55,18.53,32.16
23,R,fro,0.90,0.50,2.00,43.13,20.96,19.09,18.13,31.90
24,S,fro,0.90,0.80,0.50,43.13,20.93,18.90,18.05,17.23
25,R,fro,0.90,0.80,0.50,43.13,19.98,18.28,17.52,16.16
26,S,fro,0.90,0.80,1.00,43.13,20.63,18.44,17.98,21.57
27,R,fro,0.90,0.80,1.00,43.13,19.77,17.85,17.44,20.98
28,S,fro,0.90,0.80,2.00,43.13,20.53,18.42,18.54,39.55
29,R,fro,0.90,0.80,2.00,43.13,19.09,17.47,17.63,39.48
30,S,fro,0.90,1.00,0.50,43.13,21.10,18.18,17.70,10.89
31,R,fro,0.90,1.00,0.50,43.13,19.17,17.36,16.87,8.22
32,S,fro,0.90,1.00,1.00,43.13,18.31,18.04,17.72,10.45
