,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,36.83463212055729,29.952540477793434,22.175139890598512,21.8427050079143,8.841966303052025
1,R,fro,0.8,0.5,0.5,36.83463212055729,29.7481051733565,22.048064333641403,21.71925014779873,7.617535125513936
2,S,2,0.8,0.5,0.5,8.981431705061558,9.483182890660347,6.47320789610211,6.163436971266392,2.5933683837619546
3,R,2,0.8,0.5,0.5,8.981431705061558,9.542764995061546,6.431303278133777,6.1365049625668355,1.827796281655508
4,S,fro,0.8,0.5,2.0,36.83463212055729,29.952540477793434,22.175139890598512,21.8427050079143,10.567174102582147
5,R,fro,0.8,0.5,2.0,36.83463212055729,29.7481051733565,22.048064333641403,21.71925014779873,9.570623988646721
6,S,2,0.8,0.5,2.0,8.981431705061558,9.483182890660347,6.47320789610211,6.163436971266392,2.551263064903698
7,R,2,0.8,0.5,2.0,8.981431705061558,9.542764995061546,6.431303278133777,6.1365049625668355,1.8318518596995041
8,S,fro,0.8,0.8,0.5,36.83463212055729,29.952540477793434,22.175139890598512,21.8427050079143,8.694096048789724
9,R,fro,0.8,0.8,0.5,36.83463212055729,29.7481051733565,22.048064333641403,21.71925014779873,7.456679042855086
10,S,2,0.8,0.8,0.5,8.981431705061558,9.483182890660347,6.47320789610211,6.163436971266392,2.5142863700795166
11,R,2,0.8,0.8,0.5,8.981431705061558,9.542764995061546,6.431303278133777,6.1365049625668355,1.718336320097613
12,S,fro,0.8,0.8,2.0,36.83463212055729,29.952540477793434,22.175139890598512,21.8427050079143,9.991461466840805
13,R,fro,0.8,0.8,2.0,36.83463212055729,29.7481051733565,22.048064333641403,21.71925014779873,8.92116016862477
14,S,2,0.8,0.8,2.0,8.981431705061558,9.483182890660347,6.47320789610211,6.163436971266392,2.725724117682352
15,R,2,0.8,0.8,2.0,8.981431705061558,9.542764995061546,6.431303278133777,6.1365049625668355,1.9710460252832172
16,S,fro,0.8,1.0,0.5,36.83463212055729,29.952540477793434,22.175139890598512,21.8427050079143,8.472236258773234
17,R,fro,0.8,1.0,0.5,36.83463212055729,29.7481051733565,22.048064333641403,21.71925014779873,7.192165293502863
18,S,2,0.8,1.0,0.5,8.981431705061558,9.483182890660347,6.47320789610211,6.163436971266392,2.4672228511502894
19,R,2,0.8,1.0,0.5,8.981431705061558,9.542764995061546,6.431303278133777,6.1365049625668355,1.6668359157930284
20,S,fro,0.8,1.0,2.0,36.83463212055729,29.952540477793434,22.175139890598512,21.8427050079143,8.413904817168119
21,R,fro,0.8,1.0,2.0,36.83463212055729,29.7481051733565,22.048064333641403,21.71925014779873,7.128993654049703
22,S,2,0.8,1.0,2.0,8.981431705061558,9.483182890660347,6.47320789610211,6.163436971266392,2.431717555473307
23,R,2,0.8,1.0,2.0,8.981431705061558,9.542764995061546,6.431303278133777,6.1365049625668355,1.6394380768097514
24,S,fro,0.9,0.5,0.5,53.03790522429895,30.9001480226599,26.27734364972383,25.709808066254013,48.8668185439174
25,R,fro,0.9,0.5,0.5,53.03790522429895,29.950236230046354,25.723150980298467,25.16376212066515,48.77114063642413
26,S,2,0.9,0.5,0.5,18.83553062398229,12.228418015584325,11.436088538872488,10.837274230804095,17.340436244042895
27,R,2,0.9,0.5,0.5,18.83553062398229,11.024111059787685,11.24364265724906,10.674325986079669,17.351741171845966
28,S,fro,0.9,0.5,2.0,53.03790522429895,30.9001480226599,26.27734364972383,25.709808066254013,48.77912938949808
29,R,fro,0.9,0.5,2.0,53.03790522429895,29.950236230046354,25.723150980298467,25.16376212066515,48.68802820108112
