,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.240907249806618
1,R,fro,0.8,0.5,0.5,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.144261966778338
2,S,fro,0.8,0.5,1.0,30.020569080236218,20.872673679309088,16.030580874311497,15.773238294076025,16.68399680371317
3,R,fro,0.8,0.5,1.0,30.020569080236218,20.075451087566467,15.820190342301402,15.538360370525153,16.276364711609858
4,S,fro,0.8,0.5,2.0,30.020569080236218,20.411988829057794,16.047373577354186,15.782352979442196,25.264435258167854
5,R,fro,0.8,0.5,2.0,30.020569080236218,19.64561539766472,15.874596792993325,15.597420011451034,25.144979714207636
6,S,fro,0.8,0.8,0.5,30.020569080236218,20.204463915223347,16.210616366411088,15.828889534525418,9.017995806133507
7,R,fro,0.8,0.8,0.5,30.020569080236218,20.138775411044175,16.02840198714593,15.693439907208445,7.962074345254427
8,S,fro,0.8,0.8,1.0,30.020569080236218,19.188583378716732,16.588915660361305,16.45612749131324,25.049485806467747
9,R,fro,0.8,0.8,1.0,30.020569080236218,19.487027391841337,16.278778962190025,16.240828576823937,24.91676697555031
10,S,fro,0.8,0.8,2.0,30.020569080236218,20.393261201392857,16.007123281698018,15.622388789544985,8.80919903989949
11,R,fro,0.8,0.8,2.0,30.020569080236218,19.751956119199846,15.758505498424086,15.406539439494617,7.1876872662933255
12,S,fro,0.8,1.0,0.5,30.020569080236218,20.15718124518441,15.950932899555179,15.624928922248689,7.804719362238069
13,R,fro,0.8,1.0,0.5,30.020569080236218,19.570368089116826,15.785341176041848,15.480669939535748,6.410993687593328
14,S,fro,0.8,1.0,1.0,30.020569080236218,20.77439654958575,15.755284850043878,15.634934943045316,25.605193867870405
15,R,fro,0.8,1.0,1.0,30.020569080236218,19.12121508560535,15.361313215451814,15.222607653996254,25.472269345774077
16,S,fro,0.8,1.0,2.0,30.020569080236218,19.114092077375883,16.214431803555637,15.852850801797295,25.54945792377233
17,R,fro,0.8,1.0,2.0,30.020569080236218,19.39528035468539,15.99380385002456,15.68766356831637,25.47258067418364
18,S,fro,0.9,0.5,0.5,43.13221315483764,21.78221660867669,18.29012405375342,17.832531977916716,33.795874629021604
19,R,fro,0.9,0.5,0.5,43.13221315483764,19.612701313287726,17.260425943638253,16.872511930298067,33.46456817674771
20,S,fro,0.9,0.5,1.0,43.13221315483764,18.687462942458335,17.496170481520636,17.222083178532063,30.91767045414174
21,R,fro,0.9,0.5,1.0,43.13221315483764,17.892826441924836,16.765820239955662,16.662240562124733,30.580964741557743
22,S,fro,0.9,0.5,2.0,43.13221315483764,21.57863172665596,19.54664255134411,18.533237091074085,32.16344443352303
23,R,fro,0.9,0.5,2.0,43.13221315483764,20.962831826062438,19.09005025222314,18.134664492805317,31.90083491071759
24,S,fro,0.9,0.8,0.5,43.13221315483764,20.932226248264545,18.901538510181933,18.05107137295774,17.229042301321062
25,R,fro,0.9,0.8,0.5,43.13221315483764,19.976994342023776,18.2805098952313,17.51680634547377,16.15683344494805
26,S,fro,0.9,0.8,1.0,43.13221315483764,20.632574320863398,18.43744230485367,17.976020630455054,21.57298873034497
